Year,State,County,HAI,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Months,Notes
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000008,Antelope Valley Hospital,Acute Care Hospital,Major Teaching,1,3.24,46193,0.31,0.02,1.52,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000040,LAC+USC Medical Center,Acute Care Hospital,Major Teaching,4,7.99,82475,0.50,0.16,1.21,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068,"Good Samaritan Hospital, Los Angeles, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3011,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068,"Good Samaritan Hospital, Los Angeles",Acute Care Hospital,"Community, >250 Beds",3,2.88,36624,1.04,0.27,2.84,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000038,LAC/Olive View UCLA Medical Center,Acute Care Hospital,Major Teaching,2,1.19,21505,1.68,0.28,5.54,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012,Beverly Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0.96,17879,1.05,0.03,5.83,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000290,"Kaiser Foundation Hospital, Woodland Hills",Acute Care Hospital,Major Teaching,1,1.18,20059,0.85,0.04,4.20,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000015,"Southern California Hospital at Culver City, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1496,,,,,3,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000015,Southern California Hospital at Culver City,Acute Care Hospital,"Community, >250 Beds",1,0.53,16063,1.89,0.05,10.55,Same,5,"Incomplete Reporter, interpret with caution"
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000111,"Northridge Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3242,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000111,Northridge Hospital Medical Center,Acute Care Hospital,Major Teaching,2,1.54,26995,1.30,0.22,4.28,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065,"Hollywood Presbyterian Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2391,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065,Hollywood Presbyterian Medical Center,Acute Care Hospital,"Community, >250 Beds",0,1.94,34889,0.00,0.00,1.55,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022,"Centinela Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1809,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022,Centinela Hospital Medical Center,Acute Care Hospital,"Community, >250 Beds",1,1.66,31166,0.60,0.03,2.97,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000077,"Palmdale Regional Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3081,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000077,Palmdale Regional Medical Center,Acute Care Hospital,Major Teaching,0,0.96,18227,0.00,0.00,3.85,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026,"Huntington Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.03,1715,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026,Huntington Hospital,Acute Care Hospital,"Community, >250 Beds",2,2.85,52300,0.70,0.12,2.31,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058,"Garfield Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.04,2204,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058,Garfield Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0.87,19781,1.15,0.03,6.38,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000162,Ronald Reagan UCLA Medical Center,Acute Care Hospital,Major Teaching,5,5.52,76453,0.91,0.33,2.01,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000108,Monterey Park Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.21,8689,0.00,0.00,17.81,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000129,"Valley Presbyterian Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.04,1932,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000129,Valley Presbyterian Hospital,Acute Care Hospital,"Community, >250 Beds",3,1.80,32829,1.67,0.42,4.53,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000036,City of Hope Helford Clinical Research Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,3.80,34207,0.26,0.01,1.30,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000014,Barlow Respiratory Hospital,Long-Term Acute Care Hospital,Long-Term Acute Care,0,2.29,12337,0.00,0.00,1.31,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001543,"Kaiser Foundation Hospital, Baldwin Park",Acute Care Hospital,Major Teaching,1,1.04,23824,0.96,0.05,4.75,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063,"Henry Mayo Newhall Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1370,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063,Henry Mayo Newhall Hospital,Acute Care Hospital,"Community, >250 Beds",0,1.05,19829,0.00,0.00,2.85,Same,5,"Incomplete Reporter, interpret with caution"
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000157,"Providence Little Company of Mary Medical Center San Pedro, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2536,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000157,Providence Little Company of Mary Medical Center San Pedro,Acute Care Hospital,"Community, >250 Beds",0,0.28,8624,0.00,0.00,13.01,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000081,Providence Little Company of Mary Medical Center Torrance,Acute Care Hospital,"Community, >250 Beds",1,1.60,29250,0.63,0.03,3.09,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000072,"Kaiser Foundation Hospital, Los Angeles",Acute Care Hospital,Major Teaching,2,3.91,60564,0.51,0.09,1.69,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000049,Santa Monica - UCLA Medical Center and Orthopaedic Hospital,Acute Care Hospital,Major Teaching,1,2.31,40557,0.43,0.02,2.13,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000002,"California Hospital Medical Center, Los Angeles",Acute Care Hospital,Major Teaching,2,2.72,38849,0.74,0.12,2.43,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000047,Lakewood Regional Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,1.55,20459,0.65,0.03,3.19,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000085,Los Angeles Community Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.35,12638,2.84,0.07,15.82,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000103,"St. Mary Medical Center, Long Beach, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2724,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000103,"St. Mary Medical Center, Long Beach",Acute Care Hospital,"Community, >250 Beds",3,1.63,29804,1.84,0.47,5.02,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000092,Memorial Hospital of Gardena,Acute Care Hospital,"Community, <125 Beds",0,0.61,12789,0.00,0.00,6.09,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000053,East Los Angeles Doctors Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,0.38,11503,0.00,0.00,9.73,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000052,"PIH Health Hospital, Downey",Acute Care Hospital,Major Teaching,1,0.92,17637,1.08,0.03,6.03,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000028,West Hills Hospital & Medical Center,Acute Care Hospital,"Community, >250 Beds",1,1.16,20782,0.86,0.04,4.24,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000100,Providence Saint John's Health Center,Acute Care Hospital,"Community, >250 Beds",0,0.77,27468,0.00,0.00,4.78,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000105,Olympia Medical Center,Acute Care Hospital,"Community, 125-250 Beds",3,0.34,7286,8.85,1.82,25.85,Worse,4,"Incomplete Reporter, interpret with caution"
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005,"Alhambra Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.02,1206,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005,Alhambra Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.56,9768,0.00,0.00,6.60,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000039,"Kindred Hospital, South Bay",Long-Term Acute Care Hospital,Long-Term Acute Care,1,1.44,9453,0.70,0.04,3.43,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000187,USC Verdugo Hills Hospital,Acute Care Hospital,Major Teaching,1,0.52,12802,1.92,0.05,10.69,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000064,Southern California Hospital at Hollywood,Acute Care Hospital,"Community, <125 Beds",0,0.36,9629,0.00,0.00,10.20,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000101,"Providence Saint Joseph Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.00,200,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000101,Providence Saint Joseph Medical Center,Acute Care Hospital,"Community, >250 Beds",1,1.68,34563,0.60,0.03,2.94,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000044,Cedars-Sinai Marina Del Rey Hospital,Acute Care Hospital,"Community, 125-250 Beds",2,0.38,9476,5.30,0.64,19.15,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000062,Greater El Monte Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.31,8238,0.00,0.00,11.92,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054,"Encino Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.02,1212,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054,Encino Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.12,2672,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000040,Community Hospital of Huntington Park,Acute Care Hospital,"Community, <125 Beds",0,0.18,7895,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000125,San Dimas Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.24,7817,0.00,0.00,15.09,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000033,Kindred Hospital Paramount,Long-Term Acute Care Hospital,Long-Term Acute Care,1,2.04,15277,0.49,0.03,2.42,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000038,Coast Plaza Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.28,6070,3.58,0.09,19.92,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000013,Catalina Island Medical Center,Critical Access Hospital,Critical Access,0,0.00,42,,,,,2,"Incomplete Reporter, interpret with caution"
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000089,"Kindred Hospital, La Mirada",Long-Term Acute Care Hospital,Long-Term Acute Care,2,1.01,8141,1.97,0.33,6.51,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000035,L.A. Downtown Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.32,8015,0.00,0.00,11.49,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000088,"Kindred Hospital, Los Angeles",Long-Term Acute Care Hospital,Long-Term Acute Care,9,2.11,13690,4.27,2.08,7.83,Worse,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000042,"Kindred Hospital, San Gabriel Valley",Long-Term Acute Care Hospital,Long-Term Acute Care,1,1.37,9263,0.73,0.04,3.61,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000144,"Kindred Hospital, Baldwin Park",Long-Term Acute Care Hospital,Long-Term Acute Care,1,4.52,33492,0.22,0.01,1.09,Same,5,"Incomplete Reporter, interpret with caution"
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020,Casa Colina Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.26,13816,0.00,0.00,14.04,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000107,Monrovia Memorial Hospital,Long-Term Acute Care Hospital,Long-Term Acute Care,1,0.36,2884,2.78,0.07,15.49,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000188,West Covina Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.01,469,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000114,College Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.98,13308,0.00,0.00,3.78,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132,"Emanate Health Queen of the Valley Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1523,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132,Emanate Health Queen of the Valley Hospital,Acute Care Hospital,"Community, >250 Beds",0,1.59,28845,0.00,0.00,1.88,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000035,Martin Luther King Jr. Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,0.55,21928,0.00,0.00,6.76,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000112,Norwalk Community Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.28,7105,3.53,0.09,19.66,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020,Casa Colina Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.08,2795,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000031,California Rehabilitation Institute,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.46,24123,0.00,0.00,8.04,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000158,DOCS Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.01,373,,,,,6,
2020H2,California,Madera,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000129,Valley Children's Hospital,Acute Care Hospital,Pediatric,0,0.99,33202,0.00,0.00,3.71,Same,6,¥ See Data Dictionary
2020H2,California,Madera,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000111,Madera Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.39,10036,0.00,0.00,9.52,Same,6,¥ See Data Dictionary
2020H2,California,Marin,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000953,MarinHealth Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0.64,17400,1.56,0.04,8.71,Same,6,¥ See Data Dictionary
2020H2,California,Marin,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000982,Novato Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.14,3365,,,,,6,
2020H2,California,Marin,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000944,"Kaiser Foundation Hospital, San Rafael",Acute Care Hospital,"Community, <125 Beds",0,0.25,9490,0.00,0.00,14.75,Same,6,¥ See Data Dictionary
2020H2,California,Marin,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000946,Kentfield Hospital,Long-Term Acute Care Hospital,Long-Term Acute Care,0,1.18,7678,0.00,0.00,2.54,Same,5,"Incomplete Reporter, interpret with caution"
2020H2,California,Mariposa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000105,John C. Fremont Healthcare District,Critical Access Hospital,Critical Access,0,0.03,1451,,,,,6,
2020H2,California,Mendocino,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000070,Adventist Health Ukiah Valley,Acute Care Hospital,"Community, <125 Beds",0,0.23,6696,0.00,0.00,16.33,Same,6,¥ See Data Dictionary
2020H2,California,Mendocino,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000008,Adventist Health Howard Memorial,Critical Access Hospital,Critical Access,0,0.08,4005,,,,,6,
2020H2,California,Mendocino,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000023,Adventist Health Mendocino Coast,Critical Access Hospital,Critical Access,0,0.05,2267,,,,,6,
2020H2,California,Merced,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000110,Memorial Hospital Los Banos,Acute Care Hospital,"Community, <125 Beds",0,0.10,3631,,,,,6,
2020H2,California,Merced,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000113,Mercy Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.78,22123,0.00,0.00,4.73,Same,6,¥ See Data Dictionary
2020H2,California,Modoc,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000011,Modoc Medical Center,Critical Access Hospital,Critical Access,0,0.01,392,,,,,6,
2020H2,California,Modoc,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000021,Surprise Valley Community Hospital,Critical Access Hospital,Critical Access,0,0.00,4,,,,,1,"Incomplete Reporter, interpret with caution"
2020H2,California,Mono,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000005,Mammoth Hospital,Critical Access Hospital,Critical Access,0,0.02,906,,,,,6,
2020H2,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),070000147,Salinas Valley Memorial Hospital,Acute Care Hospital,"Community, >250 Beds",2,0.85,21428,2.35,0.28,8.48,Same,6,¥ See Data Dictionary
2020H2,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),070000141,George L. Mee Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.02,894,,,,,6,
2020H2,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),070000145,"Natividad Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.08,4274,,,,,6,
2020H2,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),070000145,Natividad Medical Center,Acute Care Hospital,Major Teaching,0,0.81,21151,0.00,0.00,4.55,Same,6,¥ See Data Dictionary
2020H2,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),070000137,"Community Hospital of The Monterey Peninsula, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1719,,,,,6,
2020H2,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),070000137,Community Hospital of The Monterey Peninsula,Acute Care Hospital,"Community, >250 Beds",1,1.20,27409,0.83,0.04,4.11,Same,6,
2020H2,California,Napa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000041,"Providence Queen of the Valley Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1534,,,,,6,
2020H2,California,Napa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000041,Providence Queen of the Valley Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.45,12627,0.00,0.00,8.15,Same,6,¥ See Data Dictionary
2020H2,California,Napa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000058,Adventist Health St. Helena,Acute Care Hospital,"Community, <125 Beds",0,0.09,2720,,,,,3,"Incomplete Reporter, interpret with caution"
2020H2,California,Nevada,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000265,Tahoe Forest Hospital,Critical Access Hospital,Critical Access,0,0.08,3905,,,,,6,
2020H2,California,Nevada,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000262,Sierra Nevada Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.39,8523,0.00,0.00,9.50,Same,6,¥ See Data Dictionary
2020H2,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000071,"University of California Irvine Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.04,1841,,,,,6,
2020H2,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000071,University of California Irvine Medical Center,Acute Care Hospital,Major Teaching,8,5.74,62507,1.39,0.65,2.65,Same,6,
2020H2,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000025,Los Alamitos Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,1.29,22921,1.54,0.26,5.10,Same,6,
2020H2,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013929,"Kaiser Foundation Hospital, Orange County, Anaheim",Acute Care Hospital,Major Teaching,2,1.70,31123,1.18,0.20,3.88,Same,6,
2020H2,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000011,Fountain Valley Regional Hospital and Medical Center,Acute Care Hospital,"Community, >250 Beds",2,2.49,39898,0.80,0.14,2.66,Same,6,
2020H2,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000208,MemorialCare Orange Coast Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0.68,24354,1.46,0.04,8.15,Same,6,¥ See Data Dictionary
2020H2,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000007,Children's Hospital of Orange County,Acute Care Hospital,Pediatric,1,1.43,31790,0.70,0.04,3.45,Same,6,
2020H2,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000063,MemorialCare Saddleback Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.84,21030,0.00,0.00,4.41,Same,6,¥ See Data Dictionary
2020H2,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000073,Orange County Global Medical Center,Acute Care Hospital,"Community, >250 Beds",4,1.61,19974,2.48,0.79,5.98,Same,6,
